Month,Annual_Inflation
1/1/17,0.016
2/1/17,0.016
3/1/17,0.016
4/1/17,0.017
5/1/17,0.017
6/1/17,0.017
7/1/17,0.017
8/1/17,0.017
9/1/17,0.017
10/1/17,0.02
11/1/17,0.02
12/1/17,0.02
1/1/18,0.02
2/1/18,0.02
3/1/18,0.02
4/1/18,0.02
5/1/18,0.02
6/1/18,0.02
7/1/18,0.02
8/1/18,0.02
9/1/18,0.02
10/1/18,0.02
11/1/18,0.02
12/1/18,0.02
1/1/19,0.0225
2/1/19,0.0225
3/1/19,0.0225
4/1/19,0.0225
5/1/19,0.0225
6/1/19,0.0225
7/1/19,0.0225
8/1/19,0.0225
9/1/19,0.0225
10/1/19,0.0225
11/1/19,0.0225
12/1/19,0.0225
1/1/20,0.025
2/1/20,0.025
3/1/20,0.025
4/1/20,0.025
5/1/20,0.025
6/1/20,0.025
7/1/20,0.025
8/1/20,0.025
9/1/20,0.025
10/1/20,0.025
11/1/20,0.025
12/1/20,0.025
1/1/21,0.025
2/1/21,0.025
3/1/21,0.025
4/1/21,0.025
5/1/21,0.025
6/1/21,0.025
7/1/21,0.025
8/1/21,0.025
9/1/21,0.025
10/1/21,0.025
11/1/21,0.025
12/1/21,0.025
1/1/22,0.025
2/1/22,0.025
3/1/22,0.025
4/1/22,0.025
5/1/22,0.025
6/1/22,0.025
7/1/22,0.025
8/1/22,0.025
9/1/22,0.025
10/1/22,0.025
11/1/22,0.025
12/1/22,0.025
1/1/23,0.025
2/1/23,0.025
3/1/23,0.025
4/1/23,0.025
5/1/23,0.025
6/1/23,0.025
7/1/23,0.025
8/1/23,0.025
9/1/23,0.025
10/1/23,0.025
11/1/23,0.025
12/1/23,0.025
1/1/24,0.0275
2/1/24,0.0275
3/1/24,0.0275
4/1/24,0.0275
5/1/24,0.0275
6/1/24,0.0275
7/1/24,0.0275
8/1/24,0.0275
9/1/24,0.0275
10/1/24,0.0275
11/1/24,0.0275
12/1/24,0.0275
1/1/25,0.0275
2/1/25,0.0275
3/1/25,0.0275
4/1/25,0.0275
5/1/25,0.0275
6/1/25,0.0275
7/1/25,0.0275
8/1/25,0.0275
9/1/25,0.0275
10/1/25,0.0275
11/1/25,0.0275
12/1/25,0.0275
1/1/26,0.0275
2/1/26,0.0275
3/1/26,0.0275
4/1/26,0.0275
5/1/26,0.0275
6/1/26,0.0275
7/1/26,0.0275
8/1/26,0.0275
9/1/26,0.0275
10/1/26,0.0275
11/1/26,0.0275
12/1/26,0.0275
1/1/27,0.0275
2/1/27,0.0275
3/1/27,0.0275
4/1/27,0.0275
5/1/27,0.0275
6/1/27,0.0275
7/1/27,0.0275
8/1/27,0.0275
9/1/27,0.0275
10/1/27,0.0275
11/1/27,0.0275
12/1/27,0.0275
1/1/28,0.0275
2/1/28,0.0275
3/1/28,0.0275
4/1/28,0.0275
5/1/28,0.0275
6/1/28,0.0275
7/1/28,0.0275
8/1/28,0.0275
9/1/28,0.0275
10/1/28,0.027
11/1/28,0.027
12/1/28,0.027
1/1/29,0.027
2/1/29,0.027
3/1/29,0.027
4/1/29,0.027
5/1/29,0.027
6/1/29,0.027
7/1/29,0.027
8/1/29,0.027
9/1/29,0.027
10/1/29,0.028
11/1/29,0.028
12/1/29,0.028
1/1/30,0.028
2/1/30,0.028
3/1/30,0.028
4/1/30,0.028
5/1/30,0.028
6/1/30,0.028
7/1/30,0.028
8/1/30,0.028
9/1/30,0.028
10/1/30,0.029
11/1/30,0.029
12/1/30,0.029
1/1/31,0.029
2/1/31,0.029
3/1/31,0.029
4/1/31,0.029
5/1/31,0.029
6/1/31,0.029
7/1/31,0.029
8/1/31,0.029
9/1/31,0.029
10/1/31,0.03
11/1/31,0.03
12/1/31,0.03
1/1/32,0.03
2/1/32,0.03
3/1/32,0.03
4/1/32,0.03
5/1/32,0.03
6/1/32,0.03
7/1/32,0.03
8/1/32,0.03
9/1/32,0.03
10/1/32,0.031
11/1/32,0.031
12/1/32,0.031
1/1/33,0.031
2/1/33,0.031
3/1/33,0.031
4/1/33,0.031
5/1/33,0.031
6/1/33,0.031
7/1/33,0.031
8/1/33,0.031
9/1/33,0.031
10/1/33,0.032
11/1/33,0.032
12/1/33,0.032
1/1/34,0.032
2/1/34,0.032
3/1/34,0.032
4/1/34,0.032
5/1/34,0.032
6/1/34,0.032
7/1/34,0.032
8/1/34,0.032
9/1/34,0.032
10/1/34,0.033
11/1/34,0.033
12/1/34,0.033
1/1/35,0.033
2/1/35,0.033
3/1/35,0.033
4/1/35,0.033
5/1/35,0.033
6/1/35,0.033
7/1/35,0.033
8/1/35,0.033
9/1/35,0.033
10/1/35,0.034
11/1/35,0.034
12/1/35,0.034
1/1/36,0.034
2/1/36,0.034
3/1/36,0.034
4/1/36,0.034
5/1/36,0.034
6/1/36,0.034
7/1/36,0.034
8/1/36,0.034
9/1/36,0.034
10/1/36,0.035
11/1/36,0.035
12/1/36,0.035
1/1/37,0.035
2/1/37,0.035
3/1/37,0.035
4/1/37,0.035
5/1/37,0.035
6/1/37,0.035
7/1/37,0.035
8/1/37,0.035
9/1/37,0.035
10/1/37,0.036
11/1/37,0.036
12/1/37,0.036
1/1/38,0.036
2/1/38,0.036
3/1/38,0.036
4/1/38,0.036
5/1/38,0.036
6/1/38,0.036
7/1/38,0.036
8/1/38,0.036
9/1/38,0.036
10/1/38,0.037
11/1/38,0.037
12/1/38,0.037
1/1/39,0.037
2/1/39,0.037
3/1/39,0.037
4/1/39,0.037
5/1/39,0.037
6/1/39,0.037
7/1/39,0.037
8/1/39,0.037
9/1/39,0.037
10/1/39,0.038
11/1/39,0.038
12/1/39,0.038
1/1/40,0.038
2/1/40,0.038
3/1/40,0.038
4/1/40,0.038
5/1/40,0.038
6/1/40,0.038
7/1/40,0.038
8/1/40,0.038
9/1/40,0.038
10/1/40,0.039
11/1/40,0.039
12/1/40,0.039
1/1/41,0.039
2/1/41,0.039
3/1/41,0.039
4/1/41,0.039
5/1/41,0.039
6/1/41,0.039
7/1/41,0.039
8/1/41,0.039
9/1/41,0.039
10/1/41,0.04
11/1/41,0.04
12/1/41,0.04
1/1/42,0.04
2/1/42,0.04
3/1/42,0.04
4/1/42,0.04
5/1/42,0.04
6/1/42,0.04
7/1/42,0.04
8/1/42,0.04
9/1/42,0.04
10/1/42,0.041
11/1/42,0.041
12/1/42,0.041
1/1/43,0.041
2/1/43,0.041
3/1/43,0.041
4/1/43,0.041
5/1/43,0.041
6/1/43,0.041
7/1/43,0.041
8/1/43,0.041
9/1/43,0.041
10/1/43,0.035
11/1/43,0.035
12/1/43,0.035
1/1/44,0.035
2/1/44,0.035
3/1/44,0.035
4/1/44,0.035
5/1/44,0.035
6/1/44,0.035
7/1/44,0.035
8/1/44,0.035
9/1/44,0.035
10/1/44,0.034
11/1/44,0.034
12/1/44,0.034
1/1/45,0.034
2/1/45,0.034
3/1/45,0.034
4/1/45,0.034
5/1/45,0.034
6/1/45,0.034
7/1/45,0.034
8/1/45,0.034
9/1/45,0.034
10/1/45,0.033
11/1/45,0.033
12/1/45,0.033
1/1/46,0.033
2/1/46,0.033
3/1/46,0.033
4/1/46,0.033
5/1/46,0.033
6/1/46,0.033
7/1/46,0.033
8/1/46,0.033
9/1/46,0.033
10/1/46,0.032
11/1/46,0.032
12/1/46,0.032
1/1/47,0.032
2/1/47,0.032
3/1/47,0.032
4/1/47,0.032
5/1/47,0.032
6/1/47,0.032
7/1/47,0.032
8/1/47,0.032
9/1/47,0.032
10/1/47,0.03
11/1/47,0.03
12/1/47,0.03
1/1/48,0.03
2/1/48,0.03
3/1/48,0.03
4/1/48,0.03
5/1/48,0.03
6/1/48,0.03
7/1/48,0.03
8/1/48,0.03
9/1/48,0.03
10/1/48,0.03
11/1/48,0.03
12/1/48,0.03
1/1/49,0.03
2/1/49,0.03
3/1/49,0.03
4/1/49,0.03
5/1/49,0.03
6/1/49,0.03
7/1/49,0.03
8/1/49,0.03
9/1/49,0.03
10/1/49,0.03
11/1/49,0.03
12/1/49,0.03
1/1/50,0.03
2/1/50,0.03
3/1/50,0.03
4/1/50,0.03
5/1/50,0.03
6/1/50,0.03
7/1/50,0.03
8/1/50,0.03
9/1/50,0.03
10/1/50,0.03
11/1/50,0.03
12/1/50,0.03
1/1/51,0.03
2/1/51,0.03
3/1/51,0.03
4/1/51,0.03
5/1/51,0.03
6/1/51,0.03
7/1/51,0.03
8/1/51,0.03
9/1/51,0.03
10/1/51,0.03
11/1/51,0.03
12/1/51,0.03
1/1/52,0.03
2/1/52,0.03
3/1/52,0.03
4/1/52,0.03
5/1/52,0.03
6/1/52,0.03
7/1/52,0.03
8/1/52,0.03
9/1/52,0.03
10/1/52,0.03
11/1/52,0.03
12/1/52,0.03
1/1/53,0.03
2/1/53,0.03
3/1/53,0.03
4/1/53,0.03
5/1/53,0.03
6/1/53,0.03
7/1/53,0.03
8/1/53,0.03
9/1/53,0.03
10/1/53,0.03
11/1/53,0.03
12/1/53,0.03
1/1/54,0.03
2/1/54,0.03
3/1/54,0.03
4/1/54,0.03
5/1/54,0.03
6/1/54,0.03
7/1/54,0.03
8/1/54,0.03
9/1/54,0.03
10/1/54,0.03
11/1/54,0.03
12/1/54,0.03
1/1/55,0.03
2/1/55,0.03
3/1/55,0.03
4/1/55,0.03
5/1/55,0.03
6/1/55,0.03
7/1/55,0.03
8/1/55,0.03
9/1/55,0.03
10/1/55,0.03
11/1/55,0.03
12/1/55,0.03
1/1/56,0.03
2/1/56,0.03
3/1/56,0.03
4/1/56,0.03
5/1/56,0.03
6/1/56,0.03
7/1/56,0.03
8/1/56,0.03
9/1/56,0.03
10/1/56,0.03
11/1/56,0.03
12/1/56,0.03
1/1/57,0.03
2/1/57,0.03
3/1/57,0.03
4/1/57,0.03
5/1/57,0.03
6/1/57,0.03
7/1/57,0.03
8/1/57,0.03
9/1/57,0.03
10/1/57,0.03
11/1/57,0.03
12/1/57,0.03
1/1/58,0.03
2/1/58,0.03
3/1/58,0.03
4/1/58,0.03
5/1/58,0.03
6/1/58,0.03
7/1/58,0.03
8/1/58,0.03
9/1/58,0.03
10/1/58,0.03
11/1/58,0.03
12/1/58,0.03
1/1/59,0.03
2/1/59,0.03
3/1/59,0.03
4/1/59,0.03
5/1/59,0.03
6/1/59,0.03
7/1/59,0.03
8/1/59,0.03
9/1/59,0.03
10/1/59,0.03
11/1/59,0.03
12/1/59,0.03
1/1/60,0.03
2/1/60,0.03
3/1/60,0.03
4/1/60,0.03
5/1/60,0.03
6/1/60,0.03
7/1/60,0.03
8/1/60,0.03
9/1/60,0.03
10/1/60,0.03
11/1/60,0.03
12/1/60,0.03
1/1/61,0.03
2/1/61,0.03
3/1/61,0.03
4/1/61,0.03
5/1/61,0.03
6/1/61,0.03
7/1/61,0.03
8/1/61,0.03
9/1/61,0.03
10/1/61,0.03
11/1/61,0.03
12/1/61,0.03
1/1/62,0.03
2/1/62,0.03
3/1/62,0.03
4/1/62,0.03
5/1/62,0.03
6/1/62,0.03
7/1/62,0.03
8/1/62,0.03
9/1/62,0.03
10/1/62,0.03
11/1/62,0.03
12/1/62,0.03
1/1/63,0.03
2/1/63,0.03
3/1/63,0.03
4/1/63,0.03
5/1/63,0.03
6/1/63,0.03
7/1/63,0.03
8/1/63,0.03
9/1/63,0.03
10/1/63,0.03
11/1/63,0.03
12/1/63,0.03
1/1/64,0.03
2/1/64,0.03
3/1/64,0.03
4/1/64,0.03
5/1/64,0.03
6/1/64,0.03
7/1/64,0.03
8/1/64,0.03
9/1/64,0.03
10/1/64,0.03
11/1/64,0.03
12/1/64,0.03
1/1/65,0.03
2/1/65,0.03
3/1/65,0.03
4/1/65,0.03
5/1/65,0.03
6/1/65,0.03
7/1/65,0.03
8/1/65,0.03
9/1/65,0.03
10/1/65,0.03
11/1/65,0.03
12/1/65,0.03
1/1/66,0.03
2/1/66,0.03
3/1/66,0.03
4/1/66,0.03
5/1/66,0.03
6/1/66,0.03
7/1/66,0.03
8/1/66,0.03
9/1/66,0.03
10/1/66,0.03
11/1/66,0.03
12/1/66,0.03
1/1/67,0.03
2/1/67,0.03
3/1/67,0.03
4/1/67,0.03
5/1/67,0.03
6/1/67,0.03
7/1/67,0.03
8/1/67,0.03
9/1/67,0.03
10/1/67,0.03
11/1/67,0.03
12/1/67,0.03
1/1/68,0.03
2/1/68,0.03
3/1/68,0.03
4/1/68,0.03
5/1/68,0.03
6/1/68,0.03
7/1/68,0.03
8/1/68,0.03
9/1/68,0.03
10/1/68,0.03
11/1/68,0.03
12/1/68,0.03
1/1/69,0.03
2/1/69,0.03
3/1/69,0.03
4/1/69,0.03
5/1/69,0.03
6/1/69,0.03
7/1/69,0.03
8/1/69,0.03
9/1/69,0.03
10/1/69,0.03
11/1/69,0.03
12/1/69,0.03
1/1/70,0.03
2/1/70,0.03
3/1/70,0.03
4/1/70,0.03
5/1/70,0.03
6/1/70,0.03
7/1/70,0.03
8/1/70,0.03
9/1/70,0.03
10/1/70,0.03
11/1/70,0.03
12/1/70,0.03
1/1/71,0.03
2/1/71,0.03
3/1/71,0.03
4/1/71,0.03
5/1/71,0.03
6/1/71,0.03
7/1/71,0.03
8/1/71,0.03
9/1/71,0.03
10/1/71,0.03
11/1/71,0.03
12/1/71,0.03
1/1/72,0.03
2/1/72,0.03
3/1/72,0.03
4/1/72,0.03
5/1/72,0.03
6/1/72,0.03
7/1/72,0.03
8/1/72,0.03
9/1/72,0.03
10/1/72,0.03
11/1/72,0.03
12/1/72,0.03
1/1/73,0.03
2/1/73,0.03
3/1/73,0.03
4/1/73,0.03
5/1/73,0.03
6/1/73,0.03
7/1/73,0.03
8/1/73,0.03
9/1/73,0.03
10/1/73,0.03
11/1/73,0.03
12/1/73,0.03
1/1/74,0.03
2/1/74,0.03
3/1/74,0.03
4/1/74,0.03
5/1/74,0.03
6/1/74,0.03
7/1/74,0.03
8/1/74,0.03
9/1/74,0.03
10/1/74,0.03
11/1/74,0.03
12/1/74,0.03
1/1/75,0.03
2/1/75,0.03
3/1/75,0.03
4/1/75,0.03
5/1/75,0.03
6/1/75,0.03
7/1/75,0.03
8/1/75,0.03
9/1/75,0.03
10/1/75,0.03
11/1/75,0.03
12/1/75,0.03
1/1/76,0.03
2/1/76,0.03
3/1/76,0.03
4/1/76,0.03
5/1/76,0.03
6/1/76,0.03
7/1/76,0.03
8/1/76,0.03
9/1/76,0.03
10/1/76,0.03
11/1/76,0.03
12/1/76,0.03
1/1/77,0.03
2/1/77,0.03
3/1/77,0.03
4/1/77,0.03
5/1/77,0.03
6/1/77,0.03
7/1/77,0.03
8/1/77,0.03
9/1/77,0.03
10/1/77,0.03
11/1/77,0.03
12/1/77,0.03
1/1/78,0.03
2/1/78,0.03
3/1/78,0.03
4/1/78,0.03
5/1/78,0.03
6/1/78,0.03
7/1/78,0.03
8/1/78,0.03
9/1/78,0.03
10/1/78,0.03
11/1/78,0.03
12/1/78,0.03
1/1/79,0.03
2/1/79,0.03
3/1/79,0.03
4/1/79,0.03
5/1/79,0.03
6/1/79,0.03
7/1/79,0.03
8/1/79,0.03
9/1/79,0.03
10/1/79,0.03
11/1/79,0.03
12/1/79,0.03
1/1/80,0.03
2/1/80,0.03
3/1/80,0.03
4/1/80,0.03
5/1/80,0.03
6/1/80,0.03
7/1/80,0.03
8/1/80,0.03
9/1/80,0.03
10/1/80,0.03
11/1/80,0.03
12/1/80,0.03
1/1/81,0.03
2/1/81,0.03
3/1/81,0.03
4/1/81,0.03
5/1/81,0.03
6/1/81,0.03
7/1/81,0.03
8/1/81,0.03
9/1/81,0.03
10/1/81,0.03
11/1/81,0.03
12/1/81,0.03
1/1/82,0.03
2/1/82,0.03
3/1/82,0.03
4/1/82,0.03
5/1/82,0.03
6/1/82,0.03
7/1/82,0.03
8/1/82,0.03
9/1/82,0.03
10/1/82,0.03
11/1/82,0.03
12/1/82,0.03
1/1/83,0.03
2/1/83,0.03
3/1/83,0.03
4/1/83,0.03
5/1/83,0.03
6/1/83,0.03
7/1/83,0.03
8/1/83,0.03
9/1/83,0.03
10/1/83,0.03
11/1/83,0.03
12/1/83,0.03
1/1/84,0.03
2/1/84,0.03
3/1/84,0.03
4/1/84,0.03
5/1/84,0.03
6/1/84,0.03
7/1/84,0.03
8/1/84,0.03
9/1/84,0.03
10/1/84,0.03
11/1/84,0.03
12/1/84,0.03
1/1/85,0.03
2/1/85,0.03
3/1/85,0.03
4/1/85,0.03
5/1/85,0.03
6/1/85,0.03
7/1/85,0.03
8/1/85,0.03
9/1/85,0.03
10/1/85,0.03
11/1/85,0.03
12/1/85,0.03
1/1/86,0.03
2/1/86,0.03
3/1/86,0.03
4/1/86,0.03
5/1/86,0.03
6/1/86,0.03
7/1/86,0.03
8/1/86,0.03
9/1/86,0.03
10/1/86,0.03
11/1/86,0.03
12/1/86,0.03
1/1/87,0.03
2/1/87,0.03
3/1/87,0.03
4/1/87,0.03
5/1/87,0.03
6/1/87,0.03
7/1/87,0.03
8/1/87,0.03
9/1/87,0.03
10/1/87,0.03
11/1/87,0.03
12/1/87,0.03
1/1/88,0.03
2/1/88,0.03
3/1/88,0.03
4/1/88,0.03
5/1/88,0.03
6/1/88,0.03
7/1/88,0.03
8/1/88,0.03
9/1/88,0.03
10/1/88,0.03
11/1/88,0.03
12/1/88,0.03
1/1/89,0.03
2/1/89,0.03
3/1/89,0.03
4/1/89,0.03
5/1/89,0.03
6/1/89,0.03
7/1/89,0.03
8/1/89,0.03
9/1/89,0.03
10/1/89,0.03
11/1/89,0.03
12/1/89,0.03
1/1/90,0.03
2/1/90,0.03
3/1/90,0.03
4/1/90,0.03
5/1/90,0.03
6/1/90,0.03
7/1/90,0.03
8/1/90,0.03
9/1/90,0.03
10/1/90,0.03
11/1/90,0.03
12/1/90,0.03
1/1/91,0.03
2/1/91,0.03
3/1/91,0.03
4/1/91,0.03
5/1/91,0.03
6/1/91,0.03
7/1/91,0.03
8/1/91,0.03
9/1/91,0.03
10/1/91,0.03
11/1/91,0.03
12/1/91,0.03
1/1/92,0.03
2/1/92,0.03
3/1/92,0.03
4/1/92,0.03
5/1/92,0.03
6/1/92,0.03
7/1/92,0.03
8/1/92,0.03
9/1/92,0.03
10/1/92,0.03
11/1/92,0.03
12/1/92,0.03
1/1/93,0.03
2/1/93,0.03
3/1/93,0.03
4/1/93,0.03
5/1/93,0.03
6/1/93,0.03
7/1/93,0.03
8/1/93,0.03
9/1/93,0.03
10/1/93,0.03
11/1/93,0.03
12/1/93,0.03
1/1/94,0.03
2/1/94,0.03
3/1/94,0.03
4/1/94,0.03
5/1/94,0.03
6/1/94,0.03
7/1/94,0.03
8/1/94,0.03
9/1/94,0.03
10/1/94,0.03
11/1/94,0.03
12/1/94,0.03
1/1/95,0.03
2/1/95,0.03
3/1/95,0.03
4/1/95,0.03
5/1/95,0.03
6/1/95,0.03
7/1/95,0.03
8/1/95,0.03
9/1/95,0.03
10/1/95,0.03
11/1/95,0.03
12/1/95,0.03
1/1/96,0.03
2/1/96,0.03
3/1/96,0.03
4/1/96,0.03
5/1/96,0.03
6/1/96,0.03
7/1/96,0.03
8/1/96,0.03
9/1/96,0.03
10/1/96,0.03
11/1/96,0.03
12/1/96,0.03
1/1/97,0.03
2/1/97,0.03
3/1/97,0.03
4/1/97,0.03
5/1/97,0.03
6/1/97,0.03
7/1/97,0.03
8/1/97,0.03
9/1/97,0.03
10/1/97,0.03
11/1/97,0.03
12/1/97,0.03
1/1/98,0.03
2/1/98,0.03
3/1/98,0.03
4/1/98,0.03
5/1/98,0.03
6/1/98,0.03
7/1/98,0.03
8/1/98,0.03
9/1/98,0.03
10/1/98,0.03
11/1/98,0.03
12/1/98,0.03
1/1/99,0.03
2/1/99,0.03
3/1/99,0.03
4/1/99,0.03
5/1/99,0.03
6/1/99,0.03
7/1/99,0.03
8/1/99,0.03
9/1/99,0.03
10/1/99,0.03
11/1/99,0.03
12/1/99,0.03
